name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
Spain. Sovereign (1516-1556 : Charles I),author,"","",organization,Spain,Q29
Spain. Sovereign (1556-1598 : Philip II),author,"","",organization,Spain,Q29
"Stanitz, John D",former owner,"","",human,John D. Stanitz,Q114242546
Sulaymān ibn Yūsuf ibn Sulaymān,scribe,سليمان بن يوسف بن سليمان,"",human,Sulaymān ibn Yūsuf ibn Sulaymān,Q114242547
Swarthmore College,former owner,"","",organization,Swarthmore College,Q1378320
"Sylvester II, Pope, ca. 945-1003",author,"","",human,Sylvester II,Q172383
Śaṅkarācārya,author,"","",human,Adi Shankara,Q180967
"Ṣidqī, Khalīl",scribe,صدقي، خليل,"",human,Khalīl Ṣidqī,Q114242500
"Tardif, Guillaume, b. 1440",author,"","",human,Guillaume Tardif,Q15966959
"Thomas, de Cantimpré, approximately 1200-approximately 1270",author,"","",human,Thomas of Cantimpré,Q572799
"Tollemache, Bentley Lyonel John Tollemache, Baron, 1883-1955",former owner,"","",human,"Bentley Lyonel John Tollemache, 3rd Baron Tollemache",Q18109261
"Traiecto, Petrus de",scribe,"","",human,Petrus de Traiecto,Q114242494
"Ungelter, Theodoricus",scribe,"","",human,Theodoric Ungelter,Q114242493
"Urmawī, ʻAbd al-Muʼmin ibn Yūsuf, approximately 1216-1294",author,ارموي، عبد المؤمن بن يوسف، اپرxمتلي 12161294,"",human,Safi al-Din al-Urmawi,Q980179
"Varchi, Benedetto, 1503-1565",author,"","",human,Benedetto Varchi,Q176833
"Vincent, of Beauvais, -1264",author,"","",human,Vincent of Beauvais,Q455162
"Vollbehr, Otto H. F. 1869-1946",former owner,"","",human,Otto Vollbehr,Q23906104
"Williams, Talcott, 1849-1928",former owner,"","",human,Talcott Williams,Q7679087
"Wylie, Theodore W. J. 1818-1897",former owner,"","",human,Theodore William John Wylie,Q114298229
"Zopello, Michele",author,"","",human,Michele Zopello,Q114242476
"Zurqānī, ʻAbd al-Bāqī ibn Yūsuf, 1611-1688",author,زرقاني، عبد الباقي بن يوسف,"",human,Abd-al-Baqi al-Zurqani,Q4664516
"Z̤amāqavī, Aḥmad Rifʻat ibn al-Ḥājj Muḥammad Fākhir",former owner,ضماقوى، احمد رفعت بن الحاج محمد فاخر,"",human,Aḥmad Rifʻat ibn al-Ḥājj Muḥammad Fākhir Z̤amāqavī,Q114242474
"ʻAbbāsī, Ḥājī ʻIzz al-Dīn Shīr Bīk",former owner,عباسي، حاجي عاز الدين شير بيك,"",human,Ḥājī ʻIzz al-Dīn Shīr Bīk ʻAbbāsī,Q114242477
ʻAbd al-Ḍayf Mūsá ibn Walī ibn Ḥasan,author,عبد الضيف موسى بن ولي بن حسن,"",human,ʻAbd al-Ḍayf Mūsá ibn Walī ibn Ḥasan,Q114242478
"ʻAjamī, Kurdī Sayyidī Maḥmūd",author,عجمي، كردي سيدي محمود,"",human,Kurdī Sayyidī Maḥmūd ʻAjamī,Q114242480
"ʻAshāfī, Ḥāfiẓ Muṣṭafá al-Nāfawī",scribe,عشافي، حافظ مصطفى النافوي,"",human,"ʻAshāfī, Ḥāfiẓ Muṣṭafá al-Nāfawī",Q114242483
"ʻAṭṭār, Muḥammad ibn Ḥusayn, 1764-1827 or 1828",author,عطار، محمد بن حسين، 1764-1827 or 1828,"",human,Muḥammad ibn Ḥusayn ʻAṭṭār,Q114242485
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,عاملي، بهاء الدين محمد بن حسين، 1547-1621,"",human,Bahāʾ al-dīn al-ʿĀmilī,Q2658411
