subject_as_recorded,source_authority_uri,authorized_label,structured_value
Metaphysics--Early works to 1800,"",Metaphysics;Early works,http://id.worldcat.org/fast/1018304;http://id.worldcat.org/fast/1411636
Military art and science--Early works to 1800,"",Military art and science;Early works,http://id.worldcat.org/fast/1020874;http://id.worldcat.org/fast/1411636
Mills and mill-work--Early works to 1800,"",Mills and mill-work;Early works,http://id.worldcat.org/fast/1021870;http://id.worldcat.org/fast/1411636
Music theory--Arab countries--Early works to 1800,"",Music theory;Arab countries;Early works,http://id.worldcat.org/fast/1030620;http://id.worldcat.org/fast/1240128;http://id.worldcat.org/fast/1411636
Music--Early works to 1800,"",Music;Early works,http://id.worldcat.org/fast/1030269;http://id.worldcat.org/fast/1411636
Natural history--Pre-Linnean works,"",Natural history,http://id.worldcat.org/fast/1034268
Nobility--Spain--Early works to 1800,"",Nobility;Spain;Early works,http://id.worldcat.org/fast/1038255;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411636
Nola (Italy),"",Italy--Nola,http://id.worldcat.org/fast/1217539
Nosairians,"",Nosairians,http://id.worldcat.org/fast/1039491
Penance (Canon law),"",Penance (Canon law),http://id.worldcat.org/fast/1056824
Persian letters,"",Persian letters,http://id.worldcat.org/fast/1058523
Persian literature--747-1500,"",Persian literature,http://id.worldcat.org/fast/1058528
Persian prose literature,"",Persian prose literature,http://id.worldcat.org/fast/1058548
Phaedra (Greek mythology) in literature,"",Phaedra (Greek mythology) in literature,http://id.worldcat.org/fast/1060016
"Philosophy, Indic","","Philosophy, Indic",http://id.worldcat.org/fast/1060996
"Philosophy, Indic--Early works to 1800","","Philosophy, Indic;Early works",http://id.worldcat.org/fast/1060996;http://id.worldcat.org/fast/1411636
Physical sciences--Early works to 1800,"",Physical sciences;Early works,http://id.worldcat.org/fast/1062723;http://id.worldcat.org/fast/1411636
Physics--Early works to 1800,"",Physics;Early works,http://id.worldcat.org/fast/1063025;http://id.worldcat.org/fast/1411636
Pigments--Early works to 1800,"",Pigments;Early works,http://id.worldcat.org/fast/1063994;http://id.worldcat.org/fast/1411636
Pillars of Islam,"",Pillars of Islam,http://id.worldcat.org/fast/1064104
Pillars of Islam--Early works to 1800,"",Pillars of Islam;Early works,http://id.worldcat.org/fast/1064104;http://id.worldcat.org/fast/1411636
Plague--Early works to 1800,"",Plague;Early works,http://id.worldcat.org/fast/1065045;http://id.worldcat.org/fast/1411636
Poligny (France),"",France--Poligny,http://id.worldcat.org/fast/1258788
Pontine Marshes (Italy),"",Italy--Pontine Marshes,http://id.worldcat.org/fast/1244738
Prayer--Islam,"",Prayer--Islam,http://id.worldcat.org/fast/1074698
